iter	Passed	Remaining
686	1041	474
687	1043	473
688	1045	471
689	1046	470
690	1047	468
691	1049	467
692	1050	465
693	1052	463
694	1053	462
695	1055	460
696	1056	459
697	1058	457
698	1059	456
699	1061	454
700	1062	453
701	1064	451
702	1065	450
703	1066	448
704	1068	447
705	1069	445
706	1071	444
707	1073	442
708	1074	441
709	1075	439
710	1077	437
711	1078	436
712	1080	434
713	1081	433
714	1082	431
715	1084	430
716	1085	428
717	1087	427
718	1088	425
719	1090	423
720	1091	422
721	1093	420
722	1094	419
723	1096	417
724	1097	416
725	1099	414
726	1100	413
727	1102	411
728	1103	410
729	1105	408
730	1106	407
731	1108	405
732	1109	404
733	1111	402
734	1112	401
735	1114	399
736	1116	398
737	1117	396
738	1119	395
739	1120	393
740	1122	392
741	1123	390
742	1124	389
743	1126	387
744	1127	386
745	1129	384
746	1130	383
747	1132	381
748	1134	380
749	1135	378
750	1137	377
751	1138	375
752	1140	374
753	1141	372
754	1143	371
755	1144	369
756	1146	367
757	1147	366
758	1149	364
759	1151	363
760	1152	361
761	1153	360
762	1155	358
763	1156	357
764	1158	355
765	1159	354
766	1161	352
767	1163	351
768	1164	349
769	1165	348
770	1167	346
771	1169	345
772	1170	343
773	1172	342
774	1173	340
775	1175	339
776	1176	337
777	1177	336
778	1179	334
779	1180	333
780	1182	331
781	1184	330
782	1185	328
783	1187	327
784	1188	325
785	1189	323
786	1191	322
787	1192	320
788	1194	319
789	1195	317
790	1197	316
791	1198	314
792	1200	313
793	1201	311
794	1203	310
795	1204	308
796	1206	307
797	1207	305
798	1209	304
799	1210	302
800	1212	301
801	1213	299
802	1215	298
803	1216	296
804	1217	295
805	1219	293
806	1220	291
807	1222	290
808	1223	288
809	1225	287
810	1226	285
811	1228	284
812	1229	282
813	1231	281
814	1232	279
815	1234	278
816	1235	276
817	1237	275
818	1238	273
819	1240	272
820	1242	270
821	1243	269
822	1245	267
823	1246	266
824	1248	264
825	1249	263
826	1251	261
827	1252	260
828	1254	258
829	1255	257
830	1257	255
831	1258	254
832	1260	252
833	1261	251
834	1263	249
835	1264	248
836	1266	246
837	1267	245
838	1269	243
839	1270	242
840	1271	240
841	1273	238
842	1274	237
843	1276	235
844	1277	234
845	1279	232
846	1280	231
847	1282	229
848	1283	228
849	1285	226
850	1286	225
851	1288	223
852	1289	222
853	1291	220
854	1292	219
855	1294	217
856	1295	216
857	1297	214
858	1298	213
859	1300	211
860	1301	210
861	1303	208
862	1304	207
863	1306	205
864	1307	204
865	1309	202
866	1310	201
867	1312	199
868	1313	198
869	1315	196
870	1316	195
871	1318	193
872	1319	192
873	1321	190
874	1322	188
875	1324	187
